taxon_name,mean_fires,num_unburnt_pixels,num_pixels
Acacia pickardii,0,51,51
Acacia pilligaensis,0.886206896551724,121,290
Acacia platycarpa,5.361139369277723,122,983
Acacia plectocarpa,4.8635097493036215,24,359
Acacia plectocarpa subsp. plectocarpa,5.2207207207207205,27,222
Acacia plectocarpa subsp. tanumbirinensis,3.4,5,60
Acacia podalyriifolia,0.21555118110236185,866,1016
Acacia polybotrya,0.4639175257731958,201,291
Acacia praelongata,7.576470588235294,13,85
Acacia praetermissa,10.681818181818182,0,22
Acacia prainii,0.21886792452830192,219,265
Acacia pravifolia,0.35888501742160284,215,287
Acacia pravissima,0.33605812897366033,837,1101
Acacia preissiana,0.4342105263157895,51,76
Acacia producta,4.916666666666667,20,192
Acacia proiantha,2.894736842105263,6,19
Acacia prominens,0.21518987341772153,396,474
Acacia provincialis,0.24615384615384617,856,1040
Acacia pruinocarpa,0.5772058823529409,188,272
Acacia pruinosa,0.6895161290322581,124,248
Acacia pteraneura,0.16431924882629112,185,213
Acacia pubescens,0.07926829268292684,308,328
Acacia pubifolia,0.45762711864406774,38,59
Acacia pulchella,0.2986247544204323,389,509
Acacia pulchella var. pulchella,0.2765957446808511,222,282
Acacia purpureopetala,1.7333333333333334,15,60
Acacia pycnantha,0.11978515193878266,12260,13591
Acacia pycnocephala,0.12698412698412698,56,63
Acacia pycnostachya,0.36585365853658536,26,41
Acacia quadrilateralis,0.9234693877551022,95,196
Acacia ramulosa,0.05853658536585361,388,410
Acacia ramulosa var. ramulosa,0.10312499999999993,589,640
Acacia retinodes,0.13434022257551664,1110,1258
Acacia retivenea subsp. retivenea,1.7732558139534882,64,172
Acacia rhigiophylla,0.07142857142857137,131,140
Acacia rhodophloia,0.46428571428571425,196,280
Acacia richardsii,3.4615384615384617,3,13
Acacia rigens,0.14201500535905678,1639,1866
Acacia rigescens,3.4444444444444446,3,9
Acacia rostellata,0.06666666666666667,29,30
Acacia rostellifera,0.19801980198019797,253,303
Acacia rostriformis,0.0072992700729927066,136,137
Acacia rubida,0.47374005305039724,1155,1885
Acacia rupicola,0.15606060606060593,560,660
Acacia sabulosa,1.346938775510204,20,49
Acacia saliciformis,1.4433497536945816,51,203
Acacia salicina,0.06433506044905014,2207,2316
Acacia saligna,0.13824057450628344,1982,2228
Acacia scalpelliformis,0.25,10,12
Acacia schinoides,0.20805369127516787,258,298
Acacia scirpifolia,0.11904761904761903,76,84
Acacia sclerophylla,0.09090909090909091,52,55
Acacia sclerophylla var. sclerophylla,0.11803588290840417,942,1059
Acacia scopulorum,2.5357142857142865,12,56
Acacia sericoflora,4.8,3,50
Acacia sericophylla,1.6798866855524073,245,1059
Acacia serpentinicola,0.33333333333333337,6,9
Acacia sertiformis,0.45833333333333315,233,336
Acacia sessilis,0.44545454545454555,83,110
Acacia shirleyi,2.606944444444443,216,720
