taxon_name,mean_fri,mean_fires,upr_conf_int,lwr_conf_int,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,taxon_rank,resprouting,post_fire_seeding,data_on_both,resprouter_or_seeder,woodiness_detailed,woody_or_herb,resprouting_binomial,seeding_binomial,obligate_resprouting_or_seeding,resprouting_seeding_binomial,mean_fires_100
Acacia applanata,67.4467605633803,0.32870370370370366,0.4051632109047484,0.25224419650265895,1.2970193252538489,0.00218595448504032,165,217,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,1.4826508962729077
Acacia aprepta,118.23999999999998,0.18750000000000008,0.31000000000000005,0.06500000000000003,1.2836879432624109,0.09166955757053444,41,48,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.8457374830852507
Acacia aptaneura,58.584492753623195,0.37842778793418647,0.4299807849306742,0.3268747909376987,1.3099573534356146,1.360344672356647e-6,396,548,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,1.7069363461172142
Acacia arafurica,3.9413333333333336,5.625,6.78713704011188,4.46286295988812,3.03111111111111,6.461010114886048e-5,0,16,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,25.372124492557507
Acacia argyraea,10.211636363636364,2.1710526315789473,2.5023244191339957,1.8397808440238992,2.6332929292929297,5.725182216060498e-13,21,76,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,9.792749804145002
Acacia argyrophylla,179.00222222222223,0.12385321100917432,0.1705709116903899,0.07713551032795873,1.0290151903055127,0.3702131862484409,193,220,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.558652282404936
Acacia arida,11.206813186813186,1.9782608695652175,2.26567223504277,1.6908495040876654,3.188262287163385,1.2462003147986377e-22,25,100,species,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,8.923143299798003
Acacia armitii,10.112631578947369,2.1923076923076925,2.761449057428103,1.623166327187282,2.299649122807018,2.2964862156191977e-4,9,26,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,9.88862287915062
Acacia aspera,345.6504545454546,0.0641399416909621,0.09094231746138168,0.0373375659205425,1.7591706539074956,1.4612312195221415e-16,328,344,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.2893096152050613
Acacia aspera subsp. aspera,1157.274,0.01915708812260536,0.03594901622950033,0.00236516001571039,1.386153846153846,3.660810023255883e-5,257,261,subspecies,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.08640995995762452
Acacia aspera subsp. parviceps,363.5880000000001,0.06097560975609755,0.11442308824267788,0.00752813126951722,0.9506172839506176,0.6052537984548146,77,82,subspecies,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.27503657986512203
Acacia asperulacea,8.521593749999997,2.601626016260163,2.886679234855259,2.316572797665068,1.6996926229508194,2.2740250290227016e-6,25,123,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,11.734894074245208
Acacia assimilis subsp. atroviridis,119.71800000000002,0.18518518518518515,0.2789018192415622,0.09146855112880815,1.0950000000000002,0.2626726549164262,68,81,subspecies,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.8352962795903704
Acacia aulacocarpa,22.795184381778743,0.9725738396624474,1.0613565077743132,0.8837911715505815,3.592488982036477,1.185643674017823e-137,287,497,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA,4.3868914734436055
Acacia auriculiformis,6.529647124201168,3.395283018867924,3.5062110052191033,3.284355032516745,5.9265069695941675,0,391,1135,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,15.314763278610391
Acacia auronitens,94.222500000000025,0.23529411764705876,0.35058823529411764,0.11999999999999993,1.156716417910448,0.17865468927547443,55,68,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,1.0613176258324708
Acacia ausfeldii,1878.9075,0.01179941002949852,0.02336283185840708,2.359882005899712e-4,0.9911242603550292,0.5358818594098786,335,339,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.05322241781460767
Acacia ayersiana,68.68352941176471,0.3227848101265823,0.3854273091113597,0.26014231114180486,1.3678182384064737,1.5027576360314305e-5,244,316,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,1.4559531354378992
Acacia baileyana,273.1401960784314,0.08116710875331565,0.09026153770336616,0.07207267980326515,1.4813173168798783,8.75380976944211e-75,3522,3790,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.36611235342045845
Acacia barbinervis,53.841428571428594,0.4117647058823528,0.7168042688050937,0.10672514295961184,1.2321428571428572,0.2333656557817048,12,17,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,1.8573058452068236
Acacia barbinervis subsp. borealis,42.324545454545465,0.5238095238095237,0.8333611709093611,0.2142578767096864,0.8818181818181818,0.6113490083710877,12,21,subspecies,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,2.362695190841334
Acacia barringtonensis,22.622448979591844,0.9799999999999998,1.1740301007575884,0.7859698992424111,1.463203463203464,0.00183637451657663,53,100,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA,4.420387911592241
Acacia basedowii,28.216363636363635,0.7857142857142858,1.0178780210391638,0.5535505503894078,0.8661157024793389,0.7491358654700394,24,56,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,3.5440427862620014
Acacia baueri subsp. baueri,26.663918918918924,0.8314606741573033,1.0209051407123992,0.6420162076022072,1.3731572481572485,0.01161383749861715,49,95,subspecies,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,3.7503864418462034
Acacia beadleana,10.623124999999998,2.086956521739131,2.677359927449565,1.4965531160286962,0.606060606060606,0.9234458645796924,4,23,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,9.413425898688004
Acacia betchei,18.29025,1.2121212121212122,1.3999413398160614,1.024301084426363,0.6049618320610686,0.999896701341864,33,132,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,5.4673938300460625
Acacia bidentata,80.76214285714288,0.2745098039215686,0.3575310573129373,0.19148855053019992,2.024436090225564,1.2741158692380485e-12,127,154,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,1.2382038968045492
Acacia biflora,77.11304347826085,0.2875000000000001,0.4049978723211617,0.17000212767883846,0.8976334617501371,0.7301258119716787,59,84,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,1.2967974740640507
Acacia binervata,83.50160583941607,0.2655038759689922,0.29117270314477905,0.23983504879320536,1.1732102161470988,2.3686720727810535e-6,1216,1560,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,1.1975817589941011
Acacia binervia,87.91926470588236,0.25216316440049447,0.2867668719899728,0.21755945681101613,1.219933022714036,1.6700606779634184e-5,647,831,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,1.1374071465967273
Acacia bivenosa,21.119289099526068,1.0497512437810943,1.1499093821516948,0.9495931054104942,2.1546607415111514,4.818936726561285e-36,192,423,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,4.735007865498846
Acacia blakei subsp. diphylla,39.67926136363637,0.5587301587301587,0.6412772646234487,0.4761830528368688,0.8872683844817602,0.9254229265509564,175,315,subspecies,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,2.52020820356409
Acacia blakelyi,90.60782608695654,0.24468085106382975,0.31539024876024213,0.1739714533674174,2.464078121367124,4.1009844053846577e-25,157,189,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,1.1036574247353619
Acacia blayana,41.38399999999999,0.5357142857142858,0.806823119948805,0.2646054514797666,0.48148148148148145,0.9892471616165164,13,28,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,2.4163928088150013
Acacia boormanii,64.17631578947369,0.34545454545454546,0.40416577320923314,0.2867433176998578,0.822094298245614,0.9953959162689964,262,388,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,1.5582072415631278
Acacia brachybotrya,168.20522388059706,0.13180327868852457,0.15002478418515758,0.11358177319189156,1.0380316266436846,0.14712246499958653,1339,1527,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.5945118569622218
Acacia brachystachya,133.02,0.16666666666666666,0.20341953809691676,0.12991379523641655,1.6723044397463005,2.1925360958330775e-18,417,474,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.7517666516313335
Acacia brockii,5.157918367346938,4.298245614035088,4.836471099145564,3.7600201289246127,2.7583090379008746,3.752964087438253e-11,6,57,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,19.387666278913343
Acacia browniana,51.268125,0.43243243243243246,0.582262626067636,0.2826022387972289,1.018835616438356,0.4332078998357716,49,75,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,1.9505296907191358
Acacia browniana var. browniana,45.923571428571435,0.48275862068965514,0.6092008358289125,0.3563164055503978,1.0260869565217392,0.4051643277503372,74,121,variety,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,2.1775309909321385
Acacia brownii,48.093650793650795,0.4609756097560976,0.493836030593098,0.4281151889190972,1.2567219010172035,4.820456942027392e-12,1090,1656,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,2.0792765437803227
Acacia brunioides subsp. brunioides,37.77111111111112,0.5869565217391304,0.7435108661691856,0.4304021773090751,1.540903540903541,7.10784711765234e-4,62,92,subspecies,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,2.6475260340060003
Acacia bulgaensis,70.01052631578948,0.31666666666666665,0.45905736548899534,0.17427596784433796,1.5512934879571811,0.00424486396745045,48,60,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,1.4283566380995336
Acacia burbidgeae,24.6087,0.9009009009009008,1.0774774774774776,0.7243243243243243,0.8870909090909088,0.7955189502101612,49,111,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,4.063603522331532
Acacia burkittii,716.6126470588234,0.03093721565059145,0.04133636552674867,0.02053806577443423,1.2643308689596056,4.9350906258142505e-9,1070,1099,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.13954540212264974
Acacia buxifolia,62.6372658227848,0.3539426523297492,0.3888478759427685,0.3190374287167299,1.016588522449906,0.3432415119102927,788,1117,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA,1.5964936956686926
Acacia buxifolia subsp. buxifolia,49.220188679245275,0.4504249291784704,0.4908470690736257,0.410002789283315,0.9949590422180212,0.5404779580823437,682,1059,subspecies,mostly resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA,2.0316866449186755
Acacia buxifolia subsp. pubiflora,26.756896551724143,0.8285714285714285,1.0026825042290863,0.6544603529137707,1.4496021220159152,0.00187425002113845,59,105,subspecies,mostly resprouts,no post-fire seeding,TRUE,resprouter,woody,woody,TRUE,FALSE,obligate resprouter,resprouter,3.737354210967201
Acacia caerulescens,82.52166666666666,0.2686567164179105,0.3927697872649822,0.14454364557083887,0.8552188552188549,0.7929836518729733,50,68,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,1.2118029608385679
Acacia calamifolia,330.56038461538463,0.06706792777300086,0.08195206474462818,0.05218379080137353,0.9850611236153404,0.6360978659253423,1087,1179,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.30251658896256584
Acacia calcicola,16.143203883495143,1.3733333333333335,1.526460692574418,1.220205974092249,7.64121012482663,4.28784016722645e-227,159,225,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,6.1945572094421895
Acacia calligera,8.120879120879122,2.7299999999999995,3.0538451481804225,2.406154851819577,2.0783290783290784,1.781666389823776e-9,20,100,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,12.313937753721243
Acacia cambagei,502.0432258064516,0.04415954415954416,0.05970486916117784,0.02861421915791048,1.15102848465326,0.00332272851509516,674,703,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,0.19918603590231918
Acacia carneorum,6717.510000000002,0.00330033003300329,0.00976897689768976,-0.00316831683168316,1.0000000000000002,0.4891777869543697,302,303,species,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,0.014886468349135273
Acacia cataractae,4.95564705882353,4.473684210526316,4.861956420871,4.085412000181632,1.5556480999479434,1.4286523427531808e-4,5,114,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,20.17899959642001
Acacia catenulata subsp. occidentalis,41.17285714285714,0.5384615384615385,0.7687653426182935,0.30815773430478355,0.8646616541353381,0.7058837470951778,22,39,subspecies,sometimes resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,2.428784566808924
