taxon_name,mean_fri,mean_fires,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,taxon_rank,resprouting,post_fire_seeding,data_on_both,resprouter_or_seeder,woodiness_detailed,woody_or_herb,resprouting_binomial,seeding_binomial,obligate_resprouting_or_seeding,resprouting_seeding_binomial
Lepidium monoplocoides,703.8974999999999,0.03149606299212599,0.06236220472440945,6.29921259842528e-4,0.976190476190476,0.5589894087440468,123,127,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Lepidium muelleri-ferdinandi,76.83575342465754,0.2885375494071146,0.33534144290167067,0.24173365591255855,1.399159093991591,6.987376323191533e-9,401,506,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Lepidium oxytrichum,171.1654411764706,0.1295238095238095,0.15129269659789862,0.1077549224497204,1.474821959288959,8.02772452237185e-22,950,1050,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Lepidium papillosum,2649.3150000000005,0.00836820083682008,0.01656903765690376,1.673640167364019e-4,0.9937106918238992,0.5301851648626164,474,478,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Lepidium peregrinum,931.14,0.0238095238095238,0.07047619047619047,-0.02285714285714285,0.9999999999999998,0.4706223768189814,41,42,species,does not resprout,NA,FALSE,NA,herbaceous semi_woody,herb,FALSE,NA,NA,NA
Lepidium phlebopetalum,153.72594339622643,0.14421768707482993,0.16363131344624465,0.1248040607034152,1.4699898531923912,2.901108816374079e-29,1314,1470,species,does not resprout,NA,FALSE,NA,herbaceous semi_woody,herb,FALSE,NA,NA,NA
Lepidium pseudohyssopifolium,361.70506849315075,0.06129303106633081,0.0753536921417484,0.04723236999091321,1.241118913318752,2.135390857924513e-8,1128,1191,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Lepidium pseudopapillosum,598.59,0.03703703703703703,0.08836775152317158,-0.01429367744909752,0.9811320754716982,0.5130965715979784,52,54,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder
Lepidium pseudotasmanicum,95.26171875,0.2327272727272728,0.28974545454545464,0.17570909090909095,1.0523494525547443,0.26411213213688806,220,275,species,does not resprout,robust post-fire seeding,TRUE,seeder,herbaceous semi_woody,herb,FALSE,TRUE,obligate seeder,seeder
Lepidium sagittulatum,1962.0450000000003,0.01129943502824858,0.02695965300706929,-0.00436078295057212,0.994318181818182,0.5071173542669465,175,177,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Lepidium strongylophyllum,301.512,0.07352941176470588,0.13798078288087628,0.00907804064853548,1.3462686567164182,0.03096654890234989,64,68,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA
Lepidobolus chaetocephalus,152.0228571428571,0.14583333333333334,0.1941479848953135,0.09751868177135314,1.31679617453676,7.295089685039063e-4,210,240,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,herbaceous,herb,TRUE,TRUE,NA,NA
Lepidobolus drapetocoleus,57.07128712871288,0.3884615384615384,0.4263418388796094,0.35058123804346736,0.8053821744060837,0.9999989656044906,671,1040,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidobolus preissianus,129.4248648648649,0.17129629629629628,0.22649173407122455,0.116100858521368,0.9954745443117538,0.5059133335373374,182,216,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidobolus preissianus subsp. preissianus,119.16375,0.18604651162790695,0.2772093023255814,0.09488372093023256,0.95,0.6103308604684372,71,86,subspecies,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidobolus preissianus subsp. volubilis,64.04666666666667,0.3461538461538462,0.5060687643606501,0.1862389279470424,1.2331154684095855,0.12275906182968167,39,52,subspecies,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma angustatum,69.13009090909091,0.3206997084548105,0.380631642635962,0.260767774273659,0.9912812333864964,0.5353926599458152,250,343,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma apricola,64.17631578947369,0.34545454545454546,0.5007898532607222,0.1901192376483687,0.8810916179337233,0.7188218686511246,38,55,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma calcicola,52.401818181818186,0.4230769230769231,0.6730994072729455,0.1730544388809006,1.167272727272727,0.25638704164696763,18,26,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma canescens,53.40954545454545,0.4150943396226416,0.4859078162717896,0.3442808629734936,1.17952394608546,0.01524712301001281,224,318,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma carphoides,73.21125944584382,0.30282227307398935,0.323885923337198,0.2817586228107807,1.060302516873499,0.01578689472335663,1963,2622,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,herbaceous,herb,TRUE,TRUE,NA,NA
Lepidosperma concavum,62.48994614003592,0.35477707006369424,0.3842405483994441,0.3253135917279444,1.004929439671005,0.4404854453929305,1104,1570,species,mostly resprouts,some post-fire seeding,TRUE,facultative,herbaceous,herb,TRUE,TRUE,NA,resprouter
Lepidosperma congestum,119.06111111111116,0.1862068965517241,0.21761812700096497,0.15479566610248324,1.4825046040515657,4.724845356843228e-16,633,725,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma costale,133.02,0.16666666666666666,0.2273271438045036,0.1060061895288297,1.115606936416185,0.14188750385902632,149,174,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma curtisiae,88.59339843750001,0.25024437927663734,0.2808993157380254,0.21958944281524928,1.2822590508806262,2.0825418055784447e-9,824,1023,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma drummondii,84.76764705882356,0.2615384615384615,0.3858659542493939,0.137210968827529,1.58639705882353,0.00196224393207146,54,65,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma effusum,66.50999999999999,0.3333333333333334,0.4437668226178596,0.22289984404880725,1.1923076923076918,0.088153820405025,78,105,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma elatius,110.0557476635514,0.2014433636648886,0.21702602104817512,0.1858607062816021,1.0075955357649218,0.37799974869103975,2607,3187,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
