taxon_name,mean_fri,mean_fires,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,warnings,messages,error
Sarcomelicope simplicifolia subsp. simplicifolia,109.84984962406018,0.2018209408194233,0.23612112698870216,0.16752075465014446,1.50723312841374,5.969910574431834e-16,555,659,NA,NA,NA
Sarcopetalum harveyanum,61.87712538226298,0.35829072315558813,0.3807118342850235,0.3358696120261528,1.0539188684382141,0.02448560375036844,1932,2738,NA,NA,NA
Sarcopteryx martyana,145.68857142857144,0.15217391304347827,0.23188748345735788,0.07246034262959865,4.612244897959184,1.0929841667445245e-43,88,92,NA,NA,NA
Sarcopteryx stipata,209.70639344262298,0.10571923743500866,0.12447912269816899,0.08695935217184833,1.0755406423727127,0.03722793901109965,1042,1154,NA,NA,NA
Sarcotoechia protracta,125.62999999999997,0.17647058823529418,0.317676467525148,0.0352647089454404,4.282828282828281,2.3064403716354242e-15,32,34,NA,NA,NA
Sarcozona praecox,339.9400000000001,0.06521739130434781,0.08981753320894925,0.04061724939974637,1.6795803066989514,1.4508286386877562e-16,391,414,NA,NA,NA
Sauropus bacciformis,NA,NA,NA,NA,NA,NA,1,1,NA,"Error: no valid set of coefficients has been found: please supply starting values
","Error: no valid set of coefficients has been found: please supply starting values
"
Sauropus brunonis,3.642662889518413,6.086206896551725,6.721121667017064,5.451292126086386,3.062919338005069,7.388102484951751e-14,6,58,NA,NA,NA
Sauropus crassifolius,66.51000000000002,0.33333333333333326,0.7105355092038885,-0.043868842537222064,3.0000000000000004,0.0022917912077914195,8,9,NA,NA,NA
Sauropus ditassoides,3.2844444444444445,6.75,9.296114687126249,4.203885312873751,3.2962962962962963,0.01953462112967047,1,4,NA,NA,NA
Sauropus dunlopii,4.030909090909091,5.5,7.798303722313481,3.2016962776865197,2.242424242424242,0.0811176961147604,0,4,NA,NA,NA
Sauropus filicinus,7.39,3.0000000000000004,4.960000000000001,1.04,1.333333333333333,0.2635971381157268,0,3,NA,NA,NA
Sauropus hirtellus,41.51836363636365,0.5339805825242717,0.6751043595602668,0.3928568054882766,1.6823529411764708,1.9658568595408462e-5,67,103,NA,NA,NA
Sauropus huntii,8.375333333333332,2.647058823529412,3.420475276923457,1.873642370135367,0.8944444444444445,0.5755488258739289,2,17,NA,NA,NA
Sauropus ochrophyllus,2.2170000000000005,9.999999999999998,13.099032106965009,6.900967893034987,1.2666666666666668,0.283886130759827,0,4,NA,NA,NA
Sauropus paucifolius,3.3308293269230766,6.6560000000000015,7.108280351994204,6.203719648005799,2.8717819478908186,2.7013113169432232e-24,15,125,NA,NA,NA
